JC Organization ID,Medicare CCN
5756,330238
5724,330236
4782,330235
2518,330234
4379,330233
74238,330232
5786,330231
4781,330226
3935,330225
5791,330224
5799,330223
5738,330221
2590,330219
4037,330218
5820,330214
3929,330213
5904,330208
5892,330205
1497,330204
3058,330202
5730,330201
5827,330199
5843,330198
5725,330196
5806,330195
5734,330194
5765,330193
5772,330191
5840,330188
5851,330185
5807,330184
5860,330182
5771,330181
3908,330177
4785,330175
5808,330169
5801,330167
2872,330164
5803,330162
4979,330160
5876,330158
5893,330157
2839,330153
4754,330151
3062,330128
5809,330127
5773,330126
2145,330125
5823,330119
2573,330115
4759,330108
2799,330107
2091,330106
5842,330104
5844,330103
3904,330102
5838,330101
5895,330096
5776,330088
5804,330086
4388,330084
5824,330080
5014,330079
4564,330078
5746,330074
5711,330073
5831,330064
4130,330062
5722,330061
2514,330059
3812,330058
2110,330057
5726,330056
5764,330055
4743,330053
4017,330049
5709,330047
5781,330045
5713,330043
5719,330037
207762,330030
223750,330028
2245,330027
5829,330024
5855,330023
5733,330019
5785,330014
5705,330013
5718,330011
2112,330009
4218,330008
5905,330006
5792,330004
1404,324010
370105,320085
9437,320065
9429,320063
1169,320051
9455,320046
9445,320038
9436,320037
9442,320033
9430,320022
2775,320021
9440,320018
9451,320016
440559,320009
9446,320006
9441,320003
9448,320002
9425,320001
130579,314025
5068,314022
1330,314021
3240,314020
3053,314019
604,314016
3247,314013
3048,314012
3052,314001
5963,310119
5935,310115
5952,310113
5939,310112
5931,310111
2224,310110
5923,310108
5968,310096
208281,310092
5989,310091
113362,310086
5948,310084
5922,310083
6007,310081
5964,310076
5951,310075
5960,310073
5970,310070
5908,310064
5950,310061
5981,310060
3050,310058
478602,310057
5956,310054
5983,310052
5994,310051
80401,310050
5992,310048
5991,310047
5928,310045
5997,310041
5980,310039
5969,310038
5986,310034
5914,310031
5916,310029
5971,310028
5926,310027
5910,310025
5985,310024
303295,310022
6001,310021
5984,310017
5941,310016
5958,310015
5915,310014
5987,310012
5918,310011
3981,310010
5961,310009
5996,310008
5976,310006
5929,310005
5942,310003
5965,310002
5934,310001
3169,304001
5467,300034
5475,300029
395201,300024
5470,300020
5464,300019
5457,300018
5458,300017
5469,300012
5471,300011
5463,300003
2046,294004
3047,294000
479836,290053
406153,290051
418273,290049
388805,290047
395162,290046
479835,290045
161810,290041
224250,290039
5218,290032
9562,290022
9561,290021
9550,290019
9555,290012
9564,290009
9551,290008
9559,290007
9553,290006
9558,290003
9565,290001
1640,284003
8514,283301
399252,280130
158650,280125
8483,280118
8491,280111
8516,280105
4371,280081
4369,280077
8512,280065
8529,280061
3978,280060
4368,280054
8519,280040
8495,280032
8515,280030
4737,280023
8506,280021
8502,280020
186313,280013
8497,280009
244330,280003
1964,274004
9307,270084
9286,270057
9285,270049
9304,270023
9288,270017
9306,270014
9284,270004
9299,270003
2197,270002
3045,264025
8405,264024
1515,264020
1341,264017
3043,264008
1790,264007
1815,264005
8347,263302
8394,263301
467815,260219
426652,260216
410981,260214
344005,260210
427423,260200
8320,260195
5195,260193
8398,260191
5170,260190
8416,260186
8321,260183
8333,260180
2861,260179
8326,260175
8316,260163
5153,260162
8330,260141
8351,260138
8407,260134
8413,260127
325182,260119
8402,260113
8323,260110
8389,260108
8385,260105
4760,260104
8409,260097
8370,260096
8339,260095
8318,260094
8396,260091
8350,260085
8358,260081
37953,260078
8393,260077
8414,260074
8327,260068
4234,260065
2136,260064
8403,260062
8369,260061
8359,260059
8410,260052
8364,260050
3592,260048
8341,260047
8325,260044
8404,260040
8338,260036
8387,260032
8349,260027
4888,260025
4787,260020
8368,260018
4773,260017
8356,260015
388349,260012
8343,260011
8400,260009
2889,260006
8376,260005
1438,254005
8031,250162
8076,250151
4894,250141
56127,250138
